id,title,released_year,runtime,genre,overview
270,"Paris, Texas",1984,145,Drama,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family."
271,Kaze no tani no Naushika,1984,117,"Animation, Adventure, Fantasy",Warrior and pacifist Princess Nausica\344 desperately struggles to prevent two warring nations from destroying themselves and their dying planet.
272,The Thing,1982,109,"Horror, Mystery, Sci-Fi",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
273,Pink Floyd: The Wall,1982,95,"Drama, Fantasy, Music",A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.
274,Fitzcarraldo,1982,158,"Adventure, Drama","The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle."
275,Fanny och Alexander,1982,188,Drama,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls."
276,Blade Runner,1982,117,"Action, Sci-Fi, Thriller","A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator."
277,The Elephant Man,1980,124,"Biography, Drama","A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous fa\347ade, there is revealed a person of kindness, intelligence and sophistication."
278,Life of Brian,1979,94,Comedy,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah."
279,The Deer Hunter,1978,183,"Drama, War",An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.
280,Rocky,1976,120,"Drama, Sport",A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.
281,Network,1976,121,Drama,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.
282,Barry Lyndon,1975,185,"Adventure, Drama, History",An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
283,Zerkalo,1975,107,"Biography, Drama","A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation."
284,Chinatown,1974,130,"Drama, Mystery, Thriller","A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder."
285,Paper Moon,1973,102,"Comedy, Crime, Drama","During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership."
286,Viskningar och rop,1972,91,Drama,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface."
287,Solaris,1972,167,"Drama, Mystery, Sci-Fi",A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.
288,Le samoura\357,1967,105,"Crime, Drama, Mystery",After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.
289,Cool Hand Luke,1967,127,"Crime, Drama","A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform."
290,Persona,1966,85,"Drama, Thriller",A nurse is put in charge of a mute actress and finds that their personae are melding together.
291,Andrei Rublev,1966,205,"Biography, Drama, History","The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev."
292,La battaglia di Algeri,1966,121,"Drama, War","In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
293,El \341ngel exterminador,1962,95,"Drama, Fantasy",The guests at an upper-class dinner party find themselves unable to leave.
294,What Ever Happened to Baby Jane?,1962,134,"Drama, Horror, Thriller",A former child star torments her paraplegic sister in their decaying Hollywood mansion.
295,Sanjuro,1962,96,"Action, Comedy, Crime","A crafty samurai helps a young man and his fellow clansmen save his uncle, who has been framed and imprisoned by a corrupt superintendent."
296,The Man Who Shot Liberty Valance,1962,123,"Drama, Western",A senator returns to a western town for the funeral of an old friend and tells the story of his origins.
297,Ivanovo detstvo,1962,95,"Drama, War","In WW2, twelve year old Soviet orphan Ivan Bondarev works for the Soviet army as a scout behind the German lines and strikes a friendship with three sympathetic Soviet officers."
298,Jungfruk\344llan,1960,89,Drama,"An innocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church, but only one returns from events that transpire in the woods along the way."
299,Inherit the Wind,1960,128,"Biography, Drama, History","Based on a real-life case in 1925, two great lawyers argue the case for and against a science teacher accused of the crime of teaching evolution."
300,Les quatre cents coups,1959,99,"Crime, Drama","A young boy, left without attention, delves into a life of petty crime."
301,Ben-Hur,1959,212,"Adventure, Drama, History","After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge."
302,Kakushi-toride no san-akunin,1958,139,"Adventure, Drama","Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines."
303,Le notti di Cabiria,1957,110,Drama,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.
304,Kumonosu-j\364,1957,110,"Drama, History","A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle."
305,The Bridge on the River Kwai,1957,161,"Adventure, Drama, War","British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it."
306,On the Waterfront,1954,108,"Crime, Drama, Thriller",An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.
307,Le salaire de la peur,1953,131,"Adventure, Drama, Thriller","In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
308,Ace in the Hole,1951,111,"Drama, Film-Noir","A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus."
309,White Heat,1949,114,"Action, Crime, Drama",A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.
310,The Third Man,1949,104,"Film-Noir, Mystery, Thriller","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
311,The Red Shoes,1948,135,"Drama, Music, Romance",A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.
312,The Shop Around the Corner,1940,99,"Comedy, Drama, Romance","Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal."
313,Rebecca,1940,130,"Drama, Mystery, Romance",A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
314,Mr. Smith Goes to Washington,1939,129,"Comedy, Drama","A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down."
315,Gone with the Wind,1939,238,"Drama, History, Romance",A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.
316,La Grande Illusion,1937,113,"Drama, War","During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress."
317,It Happened One Night,1934,105,"Comedy, Romance","A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops."
318,La passion de Jeanne d'Arc,1928,110,"Biography, Drama, History","In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
319,The Circus,1928,72,"Comedy, Romance",The Tramp finds work and the girl of his dreams at a circus.
320,Sunrise: A Song of Two Humans,1927,94,"Drama, Romance",An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.
321,The General,1926,67,"Action, Adventure, Comedy","When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines."
322,Das Cabinet des Dr. Caligari,1920,76,"Fantasy, Horror, Mystery","Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders."
323,Badhaai ho,2018,124,"Comedy, Drama",A man is embarrassed when he finds out his mother is pregnant.
324,Togo,2019,113,"Adventure, Biography, Drama","The story of Togo, the sled dog who led the 1925 serum run yet was considered by most to be too small and weak to lead such an intense race."
325,Airlift,2016,130,"Drama, History","When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen."
326,Bajrangi Bhaijaan,2015,163,"Action, Adventure, Comedy",An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.
327,Baby,2015,159,"Action, Crime, Thriller","An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India."
328,La La Land,2016,128,"Comedy, Drama, Music","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
329,Lion,2016,118,"Biography, Drama","A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family."
330,The Martian,2015,144,"Adventure, Drama, Sci-Fi","An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive."
331,Zootopia,2016,108,"Animation, Adventure, Comedy","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
332,B\343hubali: The Beginning,2015,159,"Action, Drama","In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples."
333,Kaguyahime no monogatari,2013,137,"Animation, Adventure, Drama","Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime."
334,Wonder,2017,113,"Drama, Family","Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time."
335,Gully Boy,2019,154,"Drama, Music, Romance",A coming-of-age story based on the lives of street rappers in Mumbai.
336,Special Chabbis,2013,144,"Crime, Drama, Thriller",A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.
337,Short Term 12,2013,96,Drama,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.
